Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
19976227,Abatacept,Abatacept 250 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable,Orencia,Bristol Myers Squibb,Orencia (Bristol Myers Squibb) Polvo para reconstituir a Solución o suspensión inyectable | Vial | Contiene: Abatacept 250 mg,Comercial,"$   1,172,826.00",Medio,2
20105885,Abiraterona,Abiraterona 500 mg,mg,Tableta o cápsula,Zytiga,Janssen,Zytiga (Janssen) Tableta o cápsula | Tableta | Contiene: Abiraterona 500 mg,Comercial,"$   125,684.00",Medio,2
20136001,Acebrofilina,Acebrofilina 0.5 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Filinar,Eurofarma,Filinar (Eurofarma) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 120 ml | Cada 100 ml contiene: Acebrofilina 0.5 g,Comercial,"$   30,245.00",Medio,2
20042307,Aceclofenaco,Aceclofenaco 200 mg,mg,Tableta o cápsula de liberación modificada,Zerodol,Ipca,Zerodol (Ipca) Tableta o cápsula de liberación modificada | Tableta | Contiene: Aceclofenaco 200 mg,Comercial,"$   5,890.00",Medio,2
19950977,Aceite Animal,Aceite Animal 10000 mg,mg,Emulsión inyectable,Omegaven,Fresenius,Omegaven (Fresenius) Emulsión inyectable | Frasco de 1 ml | Cada 100 ml contiene: Aceite Animal 10000 mg,Comercial,"$   102,618.00",Medio,2
19901934,Aceite De Eucalipto + Alcanfor + Mentol,Aceite De Eucalipto 1.33 g + Alcanfor 5.26 g + Mentol 2.82 g,g,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Vick,Procter & Gamble,Vick (Procter & Gamble) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 100 g | Contiene: Aceite De Eucalipto 1.33 g + Alcanfor 5.26 g + Mentol 2.82 g,Comercial,"$   18,056.00",Medio,2
20033290,Aceite De Oliva + Aceite De Soya  + Sodio Acetato + Acido Aspartico + Acido Glutamico + Calcio Cloruro + Magnesio Cloruro + Cloruro De Potasio + Glicerofosfato De Sodio Monohidrato + Glicina + Glucosa Monohidrato + L-Metionina + Alanina + Arginina + Fenilalanina + Histidina + Lisina + Isoleucina + Leucina + Prolina + Serina + Tirosina + Treonina + Triptofano + Valina,Aceite De Oliva + Aceite De Soya  3 g + Sodio Acetato 0.116 g + Acido Aspartico 0.073 g + Acido Glutamico 0.126 g + Calcio Cloruro 0.03 g + Magnesio Cloruro 0.045 g + Cloruro De Potasio 0.119 g + Glicerofosfato De Sodio Monohidrato 0.191 g + Glicina 0.176 g + Glucosa Monohidrato 8.25 g + L-Metionina 0.126 g + Alanina 0.366 g + Arginina 0.248 g + Fenilalanina 0.176 g + Histidina 0.151 g + Lisina 0.281 g + Isoleucina 0.126 g + Leucina 0.176 g + Prolina 0.151 g + Serina 0.1 g + Tirosina 0.006 g + Treonina 0.126 g + Triptofano 0.042 g + Valina 0.162 g,g,Emulsión inyectable,Periolimel,Baxter,Periolimel (Baxter) Emulsión inyectable | Frasco de 1500 ml | Cada 100 ml contiene: Aceite De Oliva + Aceite De Soya  3 g + Sodio Acetato 0.116 g + Acido Aspartico 0.073 g + Acido Glutamico 0.126 g + Calcio Cloruro 0.03 g + Magnesio Cloruro 0.045 g + Cloruro De Potasio 0.119 g + Glicerofosfato De Sodio Monohidrato 0.191 g + Glicina 0.176 g + Glucosa Monohidrato 8.25 g + L-Metionina 0.126 g + Alanina 0.366 g + Arginina 0.248 g + Fenilalanina 0.176 g + Histidina 0.151 g + Lisina 0.281 g + Isoleucina 0.126 g + Leucina 0.176 g + Prolina 0.151 g + Serina 0.1 g + Tirosina 0.006 g + Treonina 0.126 g + Triptofano 0.042 g + Valina 0.162 g,Comercial,"$   467,100.00",Medio,2
19900013,Aceite De Oliva Y Aceite De Soya,Aceite De Oliva Y Aceite De Soya 20 g,g,Emulsión inyectable,Clinoleic,Baxter,Clinoleic (Baxter) Emulsión inyectable | Frasco de 500 ml | Cada 100 ml contiene: Aceite De Oliva Y Aceite De Soya 20 g,Comercial,"$   74,000.00",Medio,2
20118686,Aceite De Oliva Y Aceite De Soya + Magnesio Acetato + Potasio Acetato + Acido Aspartico + Acido Glutamico + Alanina + Arginina + Cisteina + Ornitina + Calcio Cloruro + Aminoacidos + Lipidos + Glucosa + Fenilalanina + Sodio + Glicina + Histidina + Isoleucina + Leucina + Metionina + Glucosa + Lisina + Prolina + Serina + Taurina + Tirosina + Treonina + Triptofano + Valina,Aceite De Oliva Y Aceite De Soya 7.5 g + Magnesio Acetato 0.1 g + Potasio Acetato 0.61 g + Acido Aspartico 0.56 g + Acido Glutamico 0.93 g + Alanina 0.75 g + Arginina 0.78 g + Cisteina 0.18 g + Ornitina 0.23 g + Calcio Cloruro 0.55 g + Aminoacidos 160 ml + Lipidos 60 ml + Glucosa 80 ml + Fenilalanina 0.39 g + Sodio 0.98 g + Glicina 0.37 g + Histidina 0.35 g + Isoleucina 0.62 g + Leucina 0.93 g + Metionina 0.22 g + Glucosa 40 g + Lisina 1.03 g + Prolina 0.28 g + Serina 0.37 g + Taurina 0.06 g + Tirosina 0.07 g + Treonina 0.35 g + Triptofano 0.19 g + Valina 0.71 g,g,Emulsión inyectable,Numeta,Baxter,Numeta (Baxter) Emulsión inyectable | Frasco de 300 ml | Cada 300 ml contiene: Aceite De Oliva Y Aceite De Soya 7.5 g + Magnesio Acetato 0.1 g + Potasio Acetato 0.61 g + Acido Aspartico 0.56 g + Acido Glutamico 0.93 g + Alanina 0.75 g + Arginina 0.78 g + Cisteina 0.18 g + Ornitina 0.23 g + Calcio Cloruro 0.55 g + Aminoacidos 160 ml + Lipidos 60 ml + Glucosa 80 ml + Fenilalanina 0.39 g + Sodio 0.98 g + Glicina 0.37 g + Histidina 0.35 g + Isoleucina 0.62 g + Leucina 0.93 g + Metionina 0.22 g + Glucosa 40 g + Lisina 1.03 g + Prolina 0.28 g + Serina 0.37 g + Taurina 0.06 g + Tirosina 0.07 g + Treonina 0.35 g + Triptofano 0.19 g + Valina 0.71 g,Comercial,"$   230,000.00",Medio,2
19911958,Aceite De Soya + Fosfolipidos De Huevo + Glicerol + Trigliceridos,Aceite De Soya 10 g + Fosfolipidos De Huevo 1.2 g + Glicerol 2.5 g + Trigliceridos 10 g,g,Emulsión inyectable,Lipovenos,Fresenius,Lipovenos (Fresenius) Emulsión inyectable | Frasco de 500 ml | Cada 100 ml contiene: Aceite De Soya 10 g + Fosfolipidos De Huevo 1.2 g + Glicerol 2.5 g + Trigliceridos 10 g,Comercial,"$   53,486.00",Medio,2
33711,Aceite De Soya + Trigliceridos,Aceite De Soya 10 g + Trigliceridos 10 g,g,Emulsión inyectable,Lipofundin,Braun Melsungen,Lipofundin (Braun Melsungen) Emulsión inyectable | Frasco de 100 ml | Cada 100 ml contiene: Aceite De Soya 10 g + Trigliceridos 10 g,Comercial,"$   85,880.00",Medio,2
20022395,Aceite De Soya + Magnesio Acetato + Potasio Acetato + Sodio Acetato + Acetato De Zinc + Acido Aspartico + Acido Glutamico + Alanina + Arginina + Lisina + Calcio Cloruro + Cloruro De Sodio + Sodio Fosfato Dibasico + Fenilalanina + Glicina + Glucosa + Sodio Hidroxido + Histidina + Isoleucina + Leucina + Metionina + Prolina + Serina + Treonina + Trigliceridos + Triptofano + Valina,Aceite De Soya 20 mg + Magnesio Acetato 0.515 mg + Potasio Acetato 2.354 mg + Sodio Acetato 0.435 mg + Acetato De Zinc 0.00528 mg + Acido Aspartico 1.2 mg + Acido Glutamico 2.8 mg + Alanina 3.88 mg + Arginina 2.16 mg + Lisina 1.816 mg + Calcio Cloruro 0.353 mg + Cloruro De Sodio 0.865 mg + Sodio Fosfato Dibasico 0.936 mg + Fenilalanina 2.808 mg + Glicina 1.32 mg + Glucosa 64 mg + Sodio Hidroxido 0.64 mg + Histidina 1 mg + Isoleucina 1.872 mg + Leucina 2.504 mg + Metionina 1.568 mg + Prolina 2.72 mg + Serina 2.4 mg + Treonina 1.456 mg + Trigliceridos 20 mg + Triptofano 0.456 mg + Valina 2.08 mg,mg,Emulsión inyectable,Nutriflex,Braun Melsungen,Nutriflex (Braun Melsungen) Emulsión inyectable | Frasco de 1250 ml | Cada 1 ml contiene: Aceite De Soya 20 mg + Magnesio Acetato 0.515 mg + Potasio Acetato 2.354 mg + Sodio Acetato 0.435 mg + Acetato De Zinc 0.00528 mg + Acido Aspartico 1.2 mg + Acido Glutamico 2.8 mg + Alanina 3.88 mg + Arginina 2.16 mg + Lisina 1.816 mg + Calcio Cloruro 0.353 mg + Cloruro De Sodio 0.865 mg + Sodio Fosfato Dibasico 0.936 mg + Fenilalanina 2.808 mg + Glicina 1.32 mg + Glucosa 64 mg + Sodio Hidroxido 0.64 mg + Histidina 1 mg + Isoleucina 1.872 mg + Leucina 2.504 mg + Metionina 1.568 mg + Prolina 2.72 mg + Serina 2.4 mg + Treonina 1.456 mg + Trigliceridos 20 mg + Triptofano 0.456 mg + Valina 2.08 mg,Comercial,"$   217,250.00",Medio,2
20022622,Aceite De Soya + Magnesio Acetato + Potasio Acetato + Sodio Acetato + Acetato De Zinc + Acido Aspartico + Acido Glutamico + Alanina + Arginina + Lisina + Calcio Cloruro + Cloruro De Sodio + Fenilalanina + Fosfato + Metionina + Prolina + Serina + Treonina + Trigliceridos + Triptofano + Valina + Prolina + Serina + Treonina + Trigliceridos + Triptofano + Valina,Aceite De Soya 20 mg + Magnesio Acetato 0.91 mg + Potasio Acetato 3.689 mg + Sodio Acetato 0.25 mg + Acetato De Zinc 0.623 mg + Acido Aspartico 2.1 mg + Acido Glutamico 4.908 mg + Alanina 6.792 mg + Arginina 3.78 mg + Lisina 3.184 mg + Calcio Cloruro 0.623 mg + Cloruro De Sodio 0.378 mg + Fenilalanina 4.916 mg + Fosfato 2.496 mg + Metionina 2.73 mg + Prolina 4.76 mg + Serina 4.2 mg + Treonina 2.54 mg + Trigliceridos 20 mg + Triptofano 0.8 mg + Valina 3.6 mg + Prolina 4.76 mg + Serina 4.2 mg + Treonina 2.54 mg + Trigliceridos 20 mg + Triptofano 0.8 mg + Valina 3.6 mg,mg,Emulsión inyectable,Nutriflex,Braun Melsungen,Nutriflex (Braun Melsungen) Emulsión inyectable | Frasco de 250 ml | Cada 1 ml contiene: Aceite De Soya 20 mg + Magnesio Acetato 0.91 mg + Potasio Acetato 3.689 mg + Sodio Acetato 0.25 mg + Acetato De Zinc 0.623 mg + Acido Aspartico 2.1 mg + Acido Glutamico 4.908 mg + Alanina 6.792 mg + Arginina 3.78 mg + Lisina 3.184 mg + Calcio Cloruro 0.623 mg + Cloruro De Sodio 0.378 mg + Fenilalanina 4.916 mg + Fosfato 2.496 mg + Metionina 2.73 mg + Prolina 4.76 mg + Serina 4.2 mg + Treonina 2.54 mg + Trigliceridos 20 mg + Triptofano 0.8 mg + Valina 3.6 mg + Prolina 4.76 mg + Serina 4.2 mg + Treonina 2.54 mg + Trigliceridos 20 mg + Triptofano 0.8 mg + Valina 3.6 mg,Comercial,"$   113,630.00",Medio,2
19962049,Aceite De Soya + Trigliceridos + Trigliceridos,Aceite De Soya 80 g + Trigliceridos 2000 mg + Trigliceridos 2000 mg,g,Emulsión inyectable,Lipoplus,Braun Melsungen,Lipoplus (Braun Melsungen) Emulsión inyectable | Frasco de 250 ml | Cada 1000 ml contiene: Aceite De Soya 80 g + Trigliceridos 2000 mg + Trigliceridos 2000 mg,Comercial,"$   50,000.00",Medio,2
19977782,Aceite Vegetal + Aceite Animal + Aceite De Soya + Trigliceridos,Aceite Vegetal 100 mg + Aceite Animal 60 mg + Aceite De Soya 120 mg + Trigliceridos 120 mg,mg,Emulsión inyectable,Smoflipid,Fresenius,Smoflipid (Fresenius) Emulsión inyectable | Frasco de 500 ml | Cada 1 ml contiene: Aceite Vegetal 100 mg + Aceite Animal 60 mg + Aceite De Soya 120 mg + Trigliceridos 120 mg,Comercial,"$   472,000.00",Medio,2
41912,Aceite Vegetal,Aceite Vegetal 100 mg,mg,Solución o suspensión oral,Aceite De Ricino Osa,Osa,Aceite De Ricino Osa (Osa) Solución o suspensión oral | Frasco de 25 ml | Cada 100 ml contiene: Aceite Vegetal 100 mg,Comercial,"$   1,688.00",Medio,2
19938666,Aceite Vegetal + Alcanfor + Esencia De Trementina + Mentol,Aceite Vegetal 1330 mg + Alcanfor 5260 mg + Esencia De Trementina 4670 mg + Mentol 2820 mg,mg,Cremas o geles o ungüentos o pomadas o pastas o jaleas,Alivrub,Tecnoquimicas,Alivrub (Tecnoquimicas) Cremas o geles o ungüentos o pomadas o pastas o jaleas | Tubo de 50 g | Cada 100 g contiene: Aceite Vegetal 1330 mg + Alcanfor 5260 mg + Esencia De Trementina 4670 mg + Mentol 2820 mg,Comercial,"$   41,511.00",Medio,2
20030605,Aceite Vegetal + Magnesio Acetato + Potasio Acetato + Sodio Acetato + Acetato De Zinc + Acido Aspartico + Acido Glutamico + Acidos Omega 3 + Alanina + Arginina + Calcio Cloruro + Cloruro De Sodio + Sodio Fosfato Dibasico + Fenilalanina + Glicina + Glucosa + Hidroxido De Sodio + Histidina + Isoleucina + Leucina + Lisina + Metionina + Prolina + Serina + Treonina + Trigliceridos + Triptofano + Valina,Aceite Vegetal 1600 mg + Magnesio Acetato 91 mg + Potasio Acetato 3.689 mg + Sodio Acetato 25 mg + Acetato De Zinc 0.007024 mg + Acido Aspartico 210 mg + Acido Glutamico 490.8 mg + Acidos Omega 3 400 mg + Alanina 679.2 mg + Arginina 378 mg + Calcio Cloruro 62.3 mg + Cloruro De Sodio 0.378 mg + Sodio Fosfato Dibasico 249.6 mg + Fenilalanina 491.6 mg + Glicina 231.2 mg + Glucosa 14400 mg + Hidroxido De Sodio 1.171 mg + Histidina 175 mg + Isoleucina 328.4 mg + Leucina 438.4 mg + Lisina 318.4 mg + Metionina 273.6 mg + Prolina 476 mg + Serina 420 mg + Treonina 254 mg + Trigliceridos 2000 mg + Triptofano 80 mg + Valina 360.4 mg,mg,Emulsión inyectable,Nutriflex,Braun Melsungen,Nutriflex (Braun Melsungen) Emulsión inyectable | Frasco de 1875 ml | Cada 100 ml contiene: Aceite Vegetal 1600 mg + Magnesio Acetato 91 mg + Potasio Acetato 3.689 mg + Sodio Acetato 25 mg + Acetato De Zinc 0.007024 mg + Acido Aspartico 210 mg + Acido Glutamico 490.8 mg + Acidos Omega 3 400 mg + Alanina 679.2 mg + Arginina 378 mg + Calcio Cloruro 62.3 mg + Cloruro De Sodio 0.378 mg + Sodio Fosfato Dibasico 249.6 mg + Fenilalanina 491.6 mg + Glicina 231.2 mg + Glucosa 14400 mg + Hidroxido De Sodio 1.171 mg + Histidina 175 mg + Isoleucina 328.4 mg + Leucina 438.4 mg + Lisina 318.4 mg + Metionina 273.6 mg + Prolina 476 mg + Serina 420 mg + Treonina 254 mg + Trigliceridos 2000 mg + Triptofano 80 mg + Valina 360.4 mg,Comercial,"$   191,668.00",Medio,2
19911620,Aceite Vegetal + Simeticona,Aceite Vegetal 20 mg + Simeticona 125 mg,mg,Tableta o cápsula,Finigax,Lafrancol,Finigax (Lafrancol) Tableta o cápsula | Tableta | Contiene: Aceite Vegetal 20 mg + Simeticona 125 mg,Comercial,"$   1,001.00",Medio,2
20032500,Aceite Vegetal + Acido Aspartico + Acido Glutamico + Alanina + Arginina + Fenilalanina + Glicina + Glucosa + Histidina + Isoleucina + Leucina + Lisina + Metionina + Prolina + Serina + Tirosina + Treonina + Triptofano + Valina,Aceite Vegetal 4000 mg + Acido Aspartico 128 mg + Acido Glutamico 221 mg + Alanina 641 mg + Arginina 434 mg + Fenilalanina 307 mg + Glicina 307 mg + Glucosa 14000 mg + Histidina 264 mg + Isoleucina 221 mg + Leucina 307 mg + Lisina 348 mg + Metionina 221 mg + Prolina 264 mg + Serina 175 mg + Tirosina 11 mg + Treonina 221 mg + Triptofano 74 mg + Valina 283 mg,mg,Emulsión inyectable,Olimel,Baxter,Olimel (Baxter) Emulsión inyectable | Frasco de 1000 ml | Cada 100 ml contiene: Aceite Vegetal 4000 mg + Acido Aspartico 128 mg + Acido Glutamico 221 mg + Alanina 641 mg + Arginina 434 mg + Fenilalanina 307 mg + Glicina 307 mg + Glucosa 14000 mg + Histidina 264 mg + Isoleucina 221 mg + Leucina 307 mg + Lisina 348 mg + Metionina 221 mg + Prolina 264 mg + Serina 175 mg + Tirosina 11 mg + Treonina 221 mg + Triptofano 74 mg + Valina 283 mg,Comercial,"$   383,750.00",Medio,2
20033258,Aceite Vegetal + Lisina + Sodio Acetato + Acido Aspartico + Acido Glutamico + Alanina + Arginina + Calcio Cloruro + Magnesio Cloruro + Cloruro De Potasio + Fenilalanina + Sodio Glicerofosfato + Glicina + Glucosa + Histidina + Isoleucina + Leucina + Metionina + Prolina + Serina + Tirosina + Treonina + Triptofano + Valina,Aceite Vegetal 4000 mg + Lisina 448 mg + Sodio Acetato 150 mg + Acido Aspartico 165 mg + Acido Glutamico 284 mg + Alanina 824 mg + Arginina 558 mg + Calcio Cloruro 52 mg + Magnesio Cloruro 203 mg + Cloruro De Potasio 0.224 g + Fenilalanina 395 mg + Sodio Glicerofosfato 367 mg + Glicina 395 mg + Glucosa 11000 mg + Histidina 340 mg + Isoleucina 284 mg + Leucina 395 mg + Metionina 284 mg + Prolina 340 mg + Serina 225 mg + Tirosina 15 mg + Treonina 284 mg + Triptofano 95 mg + Valina 364 mg,mg,Emulsión inyectable,Olimel,Baxter,Olimel (Baxter) Emulsión inyectable | Frasco de 1500 ml | Cada 100 ml contiene: Aceite Vegetal 4000 mg + Lisina 448 mg + Sodio Acetato 150 mg + Acido Aspartico 165 mg + Acido Glutamico 284 mg + Alanina 824 mg + Arginina 558 mg + Calcio Cloruro 52 mg + Magnesio Cloruro 203 mg + Cloruro De Potasio 0.224 g + Fenilalanina 395 mg + Sodio Glicerofosfato 367 mg + Glicina 395 mg + Glucosa 11000 mg + Histidina 340 mg + Isoleucina 284 mg + Leucina 395 mg + Metionina 284 mg + Prolina 340 mg + Serina 225 mg + Tirosina 15 mg + Treonina 284 mg + Triptofano 95 mg + Valina 364 mg,Comercial,"$   1,089,244.00",Medio,2
20063717,Acemetacina,Acemetacina 60 mg,mg,Tableta o cápsula,Meravill,Anzg,Meravill (Anzg) Tableta o cápsula | Capsula | Contiene: Acemetacina 60 mg,Comercial,"$   3,550.00",Medio,2
19909799,Acemetacina,Acemetacina 90 mg,mg,Tableta o cápsula,Rantudil,Bial Portela,Rantudil (Bial Portela) Tableta o cápsula | Capsula | Contiene: Acemetacina 90 mg,Comercial,"$   3,803.00",Medio,2
20120371,Acetaminofem + Dextrometorfano + Fenilefrina + Levocetirizina,Acetaminofem 500 mg + Dextrometorfano 20 mg + Fenilefrina 20 mg + Levocetirizina 2.5 mg,mg,Polvo para reconstituir a Solución o suspensión inyectable/inhalación,Noraver,Tecnoquimicas,Noraver  (Tecnoquimicas) Polvo para reconstituir a Solución o suspensión inyectable/inhalación | Sobre | Contiene: Acetaminofem 500 mg + Dextrometorfano 20 mg + Fenilefrina 20 mg + Levocetirizina 2.5 mg,Comercial,"$   1,998.00",Medio,2
20049601,Acetaminofem + Clorfenilamina + Fenilefrina,Acetaminofem 500 mg. + Clorfenilamina 2 mg + Fenilefrina 10 mg.,mg.,Tableta o cápsula,Grinox,Farmacoop,Grinox (Farmacoop) Tableta o cápsula | Tableta | Contiene: Acetaminofem 500 mg. + Clorfenilamina 2 mg + Fenilefrina 10 mg.,Comercial,$   486.00,Medio,2
200295,Acetaminofen,Acetaminofen 0.1 g,g,Solución o suspensión oral,Acetaminofen,Bluepharma,Acetaminofen (Bluepharma) Solución o suspensión oral | Frasco de 30 ml | Cada 1 ml contiene: Acetaminofen 0.1 g,Comercial,"$   4,590.00",Medio,2
20010053,Acetaminofen + Fenilefrina,Acetaminofen 0.5 g + Fenilefrina 0.01 g,g,Polvo para reconstituir a Solución o suspensión oral,Noxpirin,Siegfried,Noxpirin (Siegfried) Polvo para reconstituir a Solución o suspensión oral | Sobre | Contiene: Acetaminofen 0.5 g + Fenilefrina 0.01 g,Comercial,"$   1,412.00",Medio,2
20048683,Acetaminofen,Acetaminofen 1 g,g,Solución o suspensión inyectable,Paracetamol,Fresenius,Paracetamol (Fresenius) Solución o suspensión inyectable | Ampolla de 100 ml | Cada 100 ml contiene: Acetaminofen 1 g,Comercial,"$   13,600.00",Medio,2
